,Artist,Title,emotion
208,Lady Gaga,Chromatica 1 (Concept),calm
209,Lady Gaga,Optimist,calm
210,Lady Gaga,LG6 SONG,calm
211,Lady Gaga,Crystal Paint,calm
212,Lady Gaga,Fountain Of Truth,calm
213,Lady Gaga,Weather Girl (Demo),calm
214,Lady Gaga,ROOM 06,calm
215,Lady Gaga,Prelude to Exodus,calm
216,Lady Gaga,Lady Gaga takes tea with Mr Fry,calm
217,Lady Gaga,To Be Announced,calm
218,Lady Gaga,Orlando speech,calm
219,Lady Gaga,Are you friendly with her?,calm
220,Maroon 5,Wait,calm
221,Maroon 5,Sunday Morning,calm
222,Maroon 5,Nobody’s Love,calm
223,Maroon 5,Daylight,calm
224,Maroon 5,Who I Am,calm
225,Maroon 5,Wait (Remix),calm
226,Maroon 5,Closure,calm
227,Maroon 5,Feelings,calm
228,Maroon 5,Denim Jacket,calm
229,Maroon 5,Secret,calm
230,Maroon 5,Goodnight Goodnight,calm
231,Maroon 5,The Sun,calm
232,Maroon 5,Leaving California,calm
233,Maroon 5,How,calm
234,Maroon 5,Come Away to the Water,calm
235,Maroon 5,The Air That I Breathe (iTunes Exclusive),calm
236,Maroon 5,Wait (Chromeo Remix),calm
237,Maroon 5,Pure Imagination,calm
238,Maroon 5,The Sun (Alternate Mix),calm
239,Maroon 5,The Sun (Demo),calm
240,Maroon 5,Memories (Cut Copy Remix),calm
241,Maroon 5,The sun - acoustic,calm
242,Maroon 5,Pure Imagination (2009 Version),calm
243,Nicki Minaj,Sir,calm
244,Nicki Minaj,Inspirations Outro,calm
245,Nicki Minaj,Young Forever,calm
246,Nicki Minaj,Automatic,calm
247,Nicki Minaj,Keys Under Palm Trees,calm
248,Nicki Minaj,25 Things You Don't Know About Me,calm
249,Nicki Minaj,Good Luck,calm
250,Nicki Minaj,Dilly Dally,calm
251,Nicki Minaj,Ease Up,calm
252,Nicki Minaj,Nicki Minaj Discography,calm
253,Nicki Minaj,Zonin',calm
254,Nicki Minaj,Intro,calm
255,Nicki Minaj,Nicki Minaj Speaks,calm
256,Nicki Minaj,Nicki Minaj Speaks #2,calm
257,Nicki Minaj,Nicki Minaj Speaks #3,calm
258,Nicki Minaj,Outro,calm
259,Nicki Minaj,President Carter Speaks,calm
260,Nicki Minaj,I Just Borrow,calm
261,Nicki Minaj,Feel Free,calm
262,Nicki Minaj,Brief & Beautiful,calm
263,Nicki Minaj,Perfect Day,calm
264,Nicki Minaj,Queen Radio Archive,calm
265,Nicki Minaj,Tagliati I Capelli,calm
266,Nicki Minaj,Nicki Minaj Speaks (Jae Millz),calm
267,Nicki Minaj,Finale,calm
268,Post Malone,Go Flex,calm
269,Post Malone,Internet,calm
270,Post Malone,Spaceships on Sunsets,calm
271,Post Malone,Stoned,calm
272,Post Malone,No Reason (Version 2),calm
273,Post Malone,Overtones,calm
274,Post Malone,Japanese,calm
275,Post Malone,Another Cup,calm
276,Post Malone,Santa Fe,calm
277,Post Malone,Honest,calm
278,Post Malone,Whatever,calm
279,Post Malone,Guacamole Carpet,calm
280,Post Malone,Stoned (Diplo Remix),calm
281,Post Malone,In The Air,calm
282,Post Malone,Post Malone's Tattoos,calm
283,Post Malone,Rooftops,calm
284,Post Malone,Untitled Leon Thomas III Collab*,calm
285,Selena Gomez,Bad Liar,calm
286,Selena Gomez,Let Me Get Me,calm
287,Selena Gomez,She,calm
288,Selena Gomez,Cologne,calm
289,Selena Gomez,Kill Em With Kindness (Acoustic),calm
290,Selena Gomez,Out Of My Head,calm
291,Selena Gomez,Magical,calm
292,Selena Gomez,A Year Without Rain (Dave Audio Radio Remix),calm
293,Selena Gomez,Trust In Me,calm
294,Selena Gomez,Great Escape,calm
295,Selena Gomez,Back to You (Anki Remix),calm
296,Selena Gomez,Hope For Love,calm
297,Selena Gomez,My World,calm
298,Selena Gomez,Wildest dreams,calm
299,Selena Gomez,De una vez psrsian English,calm
300,Taylor Swift,invisible string,calm
301,Taylor Swift,Delicate,calm
302,Taylor Swift,Call It What You Want,calm
303,Taylor Swift,seven,calm
304,Taylor Swift,evermore,calm
305,Taylor Swift,peace,calm
306,Taylor Swift,mirrorball,calm
307,Taylor Swift,Cornelia Street,calm
308,Taylor Swift,Daylight,calm
