,Artist,Title,emotion
1235,Taylor Swift,Sad Beautiful Tragic,sorrow
1236,Coldplay,Sparks,sorrow
1237,Ariana Grande,​bad idea,sorrow
1238,Taylor Swift,The Moment I Knew,sorrow
1239,Billie Eilish,TV,sorrow
1240,Eminem,Demon Inside,sorrow
1241,Taylor Swift,In The Pouring Rain,sorrow
1242,Eminem,Déjà Vu,sorrow
1243,Cardi B,Be Careful,sorrow
1244,Post Malone,"Yours Truly, Austin Post",sorrow
1245,Lady Gaga,Wish You Were Here,sorrow
1246,Ariana Grande,Female (Dangerous Woman Tour Visual),sorrow
1247,Noah Cyrus,Lonely,sorrow
1248,Ariana Grande,​jada,sorrow
1249,Post Malone,I Fall Apart (SLANDER Remix),sorrow
1250,Ariana Grande,Not Afraid of Love,sorrow
1251,Ariana Grande,True Love,sorrow
1252,Taylor Swift,Teardrops on My Guitar,sorrow
1253,Eminem,3 a.m.,sorrow
1254,Justin Bieber,At Least For Now,sorrow
1255,Taylor Swift,Haunted (Live/2011),sorrow
1256,Taylor Swift,Dear John (Live/2011),sorrow
1257,Ariana Grande,breathin,sorrow
1258,Taylor Swift,Need You Now,sorrow
1259,Post Malone,Nothing Else Matters,sorrow
1260,Post Malone,A Thousand Bad Times,sorrow
1261,Adele,Easy On Me,sorrow
1262,Taylor Swift,By The Way,sorrow
1263,Nicki Minaj,Out of my face,sorrow
1264,Post Malone,Up There,sorrow
1265,Ariana Grande,​only 1 (live),sorrow
1266,Eminem,Cleanin’ Out My Closet,sorrow
1267,Taylor Swift,This Is Really Happening,sorrow
1268,Taylor Swift,Come Back... Be Here,sorrow
1269,Maroon 5,If I Ain’t Got You (live),sorrow
1270,Selena Gomez,De Una Vez,sorrow
1271,Selena Gomez,Give You Up,sorrow
1272,Ariana Grande,Last Christmas,sorrow
1273,Eminem,Farewell,sorrow
1274,Eminem,Anger Management (Turkish Translation),sorrow
1275,Eminem,Never 2 Far,sorrow
1276,Eminem,Backstabber,sorrow
1277,Taylor Swift,Afterglow,sorrow
1278,Post Malone,Jonestown (Interlude),sorrow
1279,Justin Bieber,Wish You Would (Solo Version),sorrow
1280,Post Malone,Myself,sorrow
1281,Eminem,The Way I Am,sorrow
1282,Justin Bieber,Changes,sorrow
1283,Post Malone,Wake Me Up,sorrow
1284,Eminem,Oh No,sorrow
1285,Ariana Grande,​break your heart right back (live),sorrow
1286,Justin Bieber,Don’t Say Goodbye,sorrow
1287,Sarah Cothran,As the World Caves In,sorrow
1288,Ariana Grande,Break Free,sorrow
1289,Selena Gomez,People You Know,sorrow
1290,Taylor Swift,You All Over Me,sorrow
1291,Justin Bieber,Thick Or Thin,sorrow
1292,Taylor Swift,cardigan,sorrow
1293,Nicki Minaj,Dead Wrong,sorrow
1294,Lady Gaga,Onion Girl,sorrow
1295,Billie Eilish,‌watch (Live),sorrow
1296,Selena Gomez,Camouflage,sorrow
1297,Ariana Grande,She Got Her Own (Demo Edit),sorrow
1298,Nicki Minaj,Buy a Heart,sorrow
1299,Justin Bieber,Better,sorrow
1300,Eminem,Maxine,sorrow
1301,Selena Gomez,Ring,sorrow
1302,Justin Bieber,Guarded*,sorrow
1303,Selena Gomez,Vulnerable,sorrow
1304,Lady Gaga,Drivin' In Circles (Demo),sorrow
1305,Taylor Swift,Why She Disappeared [Poem],sorrow
1306,Freya Ridings,Face in the Crowd,sorrow
1307,Taylor Swift,Perfect Have I Loved,sorrow
1308,Eminem,Bad Guy,sorrow
1309,Lady Gaga,Fooled Me Again (Honest Eyes),sorrow
1310,Taylor Swift,Christmases When You Were Mine,sorrow
1311,Eminem,Can I Bitch,sorrow
1312,Maroon 5,My Heart Is Open,sorrow
1313,Lady Gaga,Earthquake (Then You'd Love Me),sorrow
1314,Maroon 5,Must Get Out (Demo),sorrow
1315,Selena Gomez,Running Back To Me,sorrow
1316,Billie Eilish,​watch (Xie Remix),sorrow
1317,Selena Gomez,Wolves,sorrow
1318,Eminem,If I Had...,sorrow
1319,Bradley Marshall,Hurts The Most,sorrow
1320,Harry Styles,Falling,sorrow
1321,Selena Gomez,Love Will Remember (Demo),sorrow
1322,Maroon 5,The air i breathe,sorrow
1323,Justin Bieber,Many Men*,sorrow
1324,Taylor Swift,Cold as You,sorrow
1325,Post Malone,Kurt Cobain,sorrow
1326,Post Malone,"Hollywood, Bleeding",sorrow
1327,Post Malone,Come As You Are,sorrow
1328,Maddie Zahm,Fat Funny Friend (sadder),sorrow
1329,Nicki Minaj,So Special,sorrow
1330,Maroon 5,Sweetest Goodbye,sorrow
1331,Eminem,The Kids (Unreleased Demo),sorrow
1332,Ariana Grande,Too Close,sorrow
1333,Ariana Grande,Untitled*,sorrow
1334,Ariana Grande,​in my head interlude (live),sorrow
1335,Justin Bieber,Heartbreaker,sorrow
1336,Ariana Grande,Love Boy,sorrow
1337,Lady Gaga,Million Reasons,sorrow
1338,Cardi B,Pull Up,sorrow
1339,Taylor Swift,Forever & Always,sorrow
1340,Maroon 5,Chilly Winter (Demo),sorrow
1341,Eminem,Insult to Injury,sorrow
1342,Eminem,Rock Bottom,sorrow
1343,Maroon 5,Not Coming Home,sorrow
1344,Eminem,Zeus,sorrow
1345,Eminem,"Low Down, Dirty",sorrow
1346,Taylor Swift,The Outside,sorrow
1347,Anson Seabra,Trying My Best,sorrow
1348,Justin Bieber,Memphis,sorrow
1349,Post Malone,Over Now,sorrow
1350,Ariana Grande,​pov,sorrow
1351,Ariana Grande,Problem (Dawin Remix),sorrow
1352,Taylor Swift,Making Up for Lost Love,sorrow
1353,Lady Gaga,Words,sorrow
1354,Justin Bieber,Wish You Would,sorrow
1355,Maroon 5,Tangled,sorrow
1356,Lady Gaga,Your Freakin' Car (Demo),sorrow
1357,Conan Gray,Heather,sorrow
1358,Taylor Swift,my tears ricochet,sorrow
1359,Ariana Grande,Rollercoaster,sorrow
1360,Nicki Minaj,Misinformation,sorrow
1361,Ariana Grande,​right there (live),sorrow
1362,Justin Bieber,Hurry Up And Wait,sorrow
1363,Ariana Grande,Better Days - Live from One Love Manchester,sorrow
1364,Eminem,Groundhog Day,sorrow
1365,Maroon 5,Maps,sorrow
1366,Nicki Minaj,Come See About Me,sorrow
1367,Post Malone,School,sorrow
1368,Justin Bieber,Fall (Acoustic) [Live],sorrow
1369,Taylor Swift,I Almost Do,sorrow
1370,Justin Bieber,Hard 2 Face Reality,sorrow
1371,Ariana Grande,Right There (7th Heaven Radio Mix),sorrow
1372,Justin Bieber,Start Again,sorrow
1373,Cat Burns,go,sorrow
1374,d4vd,Romantic Homicide,sorrow
1375,Ruth B.,Dandelions,sorrow
1376,Post Malone,No Option,sorrow
1377,Justin Bieber,Emotional,sorrow
1378,Ariana Grande,I Don’t Care,sorrow
1379,Lady Gaga,1000 Doves,sorrow
1380,Ariana Grande,How I Look on You,sorrow
1381,Justin Bieber,Flatline,sorrow
1382,Post Malone,Why Don't You Love Me,sorrow
1383,Maroon 5,Payphone,sorrow
1384,charli d'amelio,if you ask me to,sorrow
1385,Ariana Grande,Intro,sorrow
1386,Justin Bieber,Superficial*,sorrow
1387,Post Malone,Lithium,sorrow
1388,Jess Benko,A Soulmate Who Wasn’t Meant to Be,sorrow
1389,Lady Gaga,Devastated,sorrow
1390,Taylor Swift,What Do You Say,sorrow
1391,Justin Bieber,All Bad,sorrow
1392,Post Malone,My Friends,sorrow
1393,Taylor Swift,Haunted,sorrow
1394,BeyoncÃ©,Deja Vu (BeyoncÃ© Experience Live),sorrow
1395,Taylor Swift,The Archer (Live from Paris),sorrow
1396,Post Malone,Feel,sorrow
1397,Taylor Swift,Death by a Thousand Cuts,sorrow
1398,Taylor Swift,tis the damn season,sorrow
1399,BeyoncÃ©,Listen,sorrow
1400,Ariana Grande,Somewhere Over the Rainbow (Live From Manchester),sorrow
1401,Taylor Swift,the 1,sorrow
1402,Maroon 5,Not Coming Home (Demo),sorrow
1403,Lady Gaga,Ev'ry Time We Say Goodbye,sorrow
1404,Taylor Swift,Love To Lose,sorrow
1405,Eminem,Darkness,sorrow
1406,Selena Gomez,24-Jul,sorrow
1407,Eminem,Marshall Mathers,sorrow
1408,Nicki Minaj,Bring Me Down,sorrow
1409,Harry Styles,Matilda,sorrow
1410,Lady Gaga,No Way,sorrow
1411,Ariana Grande,​borderline,sorrow
1412,Taylor Swift,The Story of Us,sorrow
1413,Lauren Spencer Smith,Best Friend Breakup,sorrow
1414,Nicki Minaj,Monsé*,sorrow
1415,Ariana Grande,Piano (Early Version),sorrow
1416,Justin Bieber,Overrated,sorrow
1417,Ashley Singh,Keep Me - Acoustic,sorrow
1418,Omar Apollo,Evergreen (You Didn’t Deserve Me At All),sorrow
1419,Eminem,Cocaine,sorrow
1420,Taylor Swift,Fall Back On You,sorrow
1421,Justin Bieber,That Should Be Me (Remix),sorrow
1422,Taylor Swift,All You Had to Do Was Stay,sorrow
1423,Post Malone,I Fall Apart,sorrow
1424,Ariana Grande,Right here,sorrow
1425,Ariana Grande,The Way (Spanglish Version),sorrow
1426,Taylor Swift,Your Face,sorrow
1427,Haley Joelle,Two Places at Once,sorrow
1428,Maroon 5,Sad,sorrow
1429,Ariana Grande,Love Me Harder (Gregor Salto Amsterdam Mix),sorrow
1430,Nicki Minaj,Ganja Burn,sorrow
1431,Taylor Swift,Back to December / Apologize / You're Not Sorry (Live/2011),sorrow
1432,Eminem,Stepdad,sorrow
1433,Eminem,Letter to Tupac’s Mother,sorrow
1434,Eminem,Remind Me (Intro),sorrow
1435,Lady Gaga,Angel Down (Work Tape),sorrow
1436,Post Malone,Oh God,sorrow
1437,Eminem,Guts Over Fear,sorrow
1438,Ariana Grande,God is a woman,sorrow
1439,Taylor Swift,cardigan (the long pond studio sessions),sorrow
1440,Benson Boone,GHOST TOWN,sorrow
1441,BeyoncÃ©,Slow Love,sorrow
1442,Lady Gaga,911,sorrow
1443,Taylor Swift,Stupid Boy,sorrow
1444,Eminem,Guilty Conscience (A Cappella),sorrow
1445,Selena Gomez,Disappear,sorrow
1446,Ariana Grande,​needy,sorrow
1447,Eminem,Going Through Changes,sorrow
1448,Nicki Minaj,You Won't See Me Cry,sorrow
1449,BeyoncÃ©,Partition (Homecoming Live),sorrow
1450,Taylor Swift,Death by a Thousand Cuts (Live from Paris),sorrow
1451,Taylor Swift,Breathe,sorrow
1452,Ariana Grande,All i want,sorrow
1453,Taylor Swift,The Other Side of the Door,sorrow
1454,Nicki Minaj,Can Anybody Hear Me,sorrow
1455,Nicki Minaj,High School,sorrow
1456,Post Malone,Too Much,sorrow
1457,Phoebe Bridgers,Scott Street,sorrow
1458,Taylor Swift,august,sorrow
1459,P!nk,When I Get There,sorrow
1460,Nicki Minaj,Regret In Your Tears,sorrow
1461,Taylor Swift,Dear John,sorrow
1462,Taylor Swift,You're Not Sorry,sorrow
1463,Justin Bieber,Omaha Mall,sorrow
1464,Lady Gaga,Joanne (Where Do You Think You're Goin'?) [Piano Version],sorrow
1465,Justin Bieber,Mark My Words,sorrow
1466,Post Malone,Never Understand,sorrow
1467,Ariana Grande,Breathin (SG Lewis Remix),sorrow
1468,Taylor Swift,Tied Together with a Smile,sorrow
1469,BeyoncÃ©,Bonnie And Clyde Medley (The Beyonce Experience Live),sorrow
1470,Maroon 5,Losing My Mind,sorrow
1471,Eminem,"Low, Down, Dirty (Unmastered Sequence version)",sorrow
1472,Taylor Swift,the 1 (the long pond studio sessions),sorrow
1473,Jamie Miller,I Lost Myself In Loving You,sorrow
1474,Justin Bieber,Take It Out On Me,sorrow
1475,Zeph,could you love me while i hate myself,sorrow
1476,Post Malone,Big Lie,sorrow
1477,Lewis Capaldi,Wish You The Best,sorrow
1478,Nicki Minaj,Tragedy,sorrow
1479,Taylor Swift,exile (the long pond studio sessions),sorrow
1480,Justin Bieber,How To Love (Remix),sorrow
1481,Taylor Swift,Back to December,sorrow
1482,Lady Gaga,I'll Never Love Again (Film Version),sorrow
1483,Eminem,The Kids (Demo),sorrow
1484,Nicki Minaj,Sorry,sorrow
1485,Jessie Murph,How Could You,sorrow
1486,Nicki Minaj,Autobiography,sorrow
1487,Post Malone,Drain You,sorrow
1488,Maroon 5,Sweetest Goodbye (live),sorrow
1489,Justin Bieber,Double Negative*,sorrow
1490,Ariana Grande,"Oh, Darling",sorrow
1491,Post Malone,Circles,sorrow
1492,Ariana Grande,Step on Up,sorrow
1493,Eminem,Nowhere Fast,sorrow
1494,Ariana Grande,Positions (Clean),sorrow
1495,Justin Bieber,Nothing Like Us,sorrow
1496,Justin Bieber,E.T.A.,romance
1497,Ariana Grande,​sweetener (live),romance
1498,BeyoncÃ©,Get Me Bodied (BeyoncÃ© Experience Live),romance
1499,BeyoncÃ©,Partition Remix (Unreleased),romance
1500,BeyoncÃ©,Run the World (Girls) (Dave AudÃ© Club Remix),romance
1501,Billie Eilish,​​ocean eyes,romance
1502,BeyoncÃ©,All I Could Do Was Cry,romance
1503,Taylor Swift,I'd Lie,romance
1504,Taylor Swift,Love Story,romance
1505,Billie Eilish,Something (The Beatles Cover),romance
1506,Charles Aznavour,How Sad Venice Can Be,romance
1507,Eminem,She Loves Me,romance
1508,BeyoncÃ©,Standing On The Sun,romance
1509,Justin Bieber,Hey Girl (Unreleased),romance
1510,Billie Eilish,WHEN I WAS OLDER,romance
1511,Billie Eilish,Bad guy (Topic Remix),romance
1512,Taylor Swift,You Are in Love,romance
1513,BeyoncÃ©,Haunted,romance
1514,BeyoncÃ©,Green Light,romance
1515,BeyoncÃ©,Letter To Michelle Obama,romance
1516,BeyoncÃ©,Speechless (BeyoncÃ© Experience Live),romance
1517,Lady Gaga,You and I - Wild Beasts Remix,romance
1518,BeyoncÃ©,Ego (Twinsmatic Remix),romance
1519,BeyoncÃ©,Freedom (Homecoming Live),romance
1520,Robbie Williams,Angels,romance
1521,Ed Sheeran,Thinking out Loud,romance
1522,Toni Braxton,Un-Break My Heart,romance
1523,BeyoncÃ©,Upgrade U (BeyoncÃ© Experience Live),romance
1524,BeyoncÃ©,Intro,romance
1525,Taylor Swift,Enchanted,romance
1526,Ariana Grande,​reMeMber,romance
1527,Ariana Grande,"​break up with your girlfriend, i’m bored (live)",romance
1528,Justin Bieber,Take You,romance
1529,BeyoncÃ©,Halo (Dave AudÃ© Club Remix),romance
1530,Ariana Grande,​shut up,romance
1531,Ariana Grande,​goodnight n go,romance
1532,BeyoncÃ©,The Formation World Tour,romance
1533,Cardi B,Booty*,romance
1534,Ariana Grande,Honeymoon Avenue,romance
1535,Justin Bieber,All I Want Is You,romance
1536,BeyoncÃ©,Roc,romance
1537,Ariana Grande,​everytime,romance
1538,Billie Eilish,Secret,romance
1539,BeyoncÃ©,Sandcastles,romance
1540,BeyoncÃ©,Daddy Lessons (Remix),romance
1541,Ariana Grande,​successful (live),romance
1542,Taylor Swift,Ain't Nothing 'Bout You,romance
1543,Maroon 5,Closer (Live),romance
1544,Selena Gomez,Perfect,romance
1545,BeyoncÃ©,A Woman Like Me,romance
1546,BeyoncÃ©,Iâm Alone Now,romance
1547,Billie Eilish,​call me back,romance
1548,Billie Eilish,Cant Help Falling In Love,romance
1549,Justin Bieber,One Less Lonely Girl (French Vocal),romance
1550,BeyoncÃ©,Baby Boy [Juniorâs World Mixshow],romance
1551,Ariana Grande,Love,romance
1552,BeyoncÃ©,Mi Gente [Homecoming Live],romance
1553,Taylor Swift,Look At You Like That*,romance
1554,Ariana Grande,​better off,romance
1555,Billie Eilish,Six Feet Under (BLU J Remix),romance
1556,Justin Bieber,Holy (Acoustic),romance
1557,Selena Gomez,Kinda Crazy,romance
1558,Billie Eilish,Bored,romance
1559,Eminem,Listen To Your Heart,romance
1560,Ariana Grande,Hope Is The Song,romance
1561,BeyoncÃ©,Cali Girl Dreams,romance
1562,BeyoncÃ©,Sorry (Homecoming Live),romance
1563,Dusty Springfield,If You Go Away,romance
1564,Eminem,Hailie’s Song,romance
1565,BeyoncÃ©,Fingertips/Master Blaster (Jamminâ)/Higher Ground [Live at the âStevie Wonder Tribute âSongs In The Key of Lifeâ],romance
1566,Billie Eilish,​​party favor,romance
1567,Nicki Minaj,Your Love,romance
1568,Ariana Grande,​nasty,romance
1569,Ariana Grande,34+35 (DJ Siembab Remix),romance
1570,Cardi B,Up,romance
1571,BeyoncÃ©,Forward,romance
1572,BeyoncÃ©,Start Over,romance
1573,Ariana Grande,​blazed,romance
1574,BeyoncÃ©,Black Culture,romance
1575,Justin Bieber,All That Matters,romance
1576,BeyoncÃ©,Beautiful Liar (BeyoncÃ© Experience Live),romance
1577,Justin Bieber,Looking For You,romance
1578,Ariana Grande,7 rings (live)​,romance
1579,BeyoncÃ©,Work It Out,romance
1580,Lady Gaga,Second Time Around,romance
1581,BeyoncÃ©,Partition,romance
1582,Ellie Goulding,How Long Will I Love You,romance
1583,Taylor Swift,Delicate (Seeb Remix),romance
1584,Taylor Swift,Teardrops On My Guitar (Cahill Radio Edit),romance
1585,Enrique Iglesias,Hero,romance
1586,Lara Fabian,Love by Grace,romance
1587,Billie Eilish,​bury a friend (Elijah Hill Remix),romance
1588,Justin Bieber,Come Around Me,romance
1589,BeyoncÃ©,Summertime,romance
1590,Ariana Grande,Break Free (Avicii Remix),romance
1591,BeyoncÃ©,BLACK PARADE (Extended),romance
1592,Selena Gomez,Perfect (Unreleased),romance
1593,Billie Eilish,Watch (Cole Jackson Remix),romance
1594,BeyoncÃ©,If Looks Could Kill (You Would Be Dead),romance
1595,Ronan Keating,When You Say Nothing At All,romance
1596,Maroon 5,This Love (Cut Copy Galactic Beach House Mix),romance
1597,BeyoncÃ©,Everything I Do,romance
1598,BeyoncÃ©,"Me, Myself & I (Remix)",romance
1599,BeyoncÃ©,Irreplaceable (BeyoncÃ© Experience Live),romance
1600,Maroon 5,If I Fell,romance
1601,Billie Eilish,‌ocean eyes (Live),romance
1602,Ariana Grande,Pink Champagne,romance
1603,Cardi B,Thru Your Phone,romance
1604,Lady Gaga,Electric Kiss,romance
1605,BeyoncÃ©,Settle 4 U,romance
1606,BeyoncÃ©,Hello (Live),romance
1607,BeyoncÃ©,Time To Come Home,romance
1608,Billie Eilish,Hostage (sonn Remix),romance
1609,BeyoncÃ©,Hard To Say Goodbye,romance
1610,Cardi B,I Gotta Hurt You,romance
1611,BeyoncÃ©,Intro - Live,romance
1612,Ariana Grande,The Way It Is,romance
1613,BeyoncÃ©,Hello,romance
1614,Justin Bieber,Get Me,romance
1615,Eminem,So Bad,romance
1616,BeyoncÃ©,Sweet Dreams,romance
1617,Lady Gaga,Shallow (Joe Biden Election Night Rally 2020),romance
1618,BeyoncÃ©,Anger,romance
1619,Eminem,Beautiful (Radio Edit),romance
1620,BeyoncÃ©,Amor Gitano,romance
1621,BeyoncÃ©,Listen (Live),romance
1622,Ariana Grande,One Last Time (Gazzo Remix),romance
1623,BeyoncÃ©,Lost Yo Mind,romance
1624,BeyoncÃ©,Baby Boy (Live),romance
1625,BeyoncÃ©,Smash Into You (Lost Daze Remix),romance
1626,Justin Bieber,Forever,romance
1627,BeyoncÃ©,Blue,romance
1628,Billie Eilish,​sHE’s brOKen,romance
1629,Ariana Grande,​make up,romance
1630,Adele,Make You Feel My Love,romance
1631,BeyoncÃ©,Dangerously In Love 2,romance
1632,Justin Bieber,I Wanna Be,romance
1633,Billie Eilish,The Hill,romance
1634,Ariana Grande,Baby I (a-Director’s Cut Radio Edit),romance
1635,Maroon 5,This Love (Junior Sirius edit),romance
1636,"Lady Gaga, Bradley Cooper",I'll Never Love Again,romance
1637,Lady Gaga,Always Remember Us This Way,romance
1638,Eminem,River,romance
1639,Taylor Swift,Dress,romance
1640,BeyoncÃ©,Green Light (HBA Remix),romance
1641,BeyoncÃ©,Sweet Dreams (OK DAC Remix),romance
1642,Lady Gaga,Brown Eyes,romance
1643,BeyoncÃ©,Baby Boy (Alternative Version),romance
1644,BeyoncÃ©,Sweet Dreams (Dave Spoon Remix),romance
1645,Ariana Grande,Piano,romance
1646,Ariana Grande,​you,romance
1647,BeyoncÃ©,Drunk in Love,romance
1648,Michael Bublé,You Don't Know Me,romance
1649,Taylor Swift,Lover (Remix),romance
1650,Eminem,Everything I Do,romance
1651,Justin Bieber,I Would,romance
1652,Justin Bieber,Reckless Love (HXLY KXSS Edit),romance
1653,Justin Bieber,Faithful,romance
1654,Ariana Grande,​hopeless romantic*,romance
1655,Ariana Grande,Jason’s Song (Gave It Away),romance
1656,BeyoncÃ©,7/11 (Homecoming Live),romance
1657,Eminem,Old Time’s Sake,romance
1658,BeyoncÃ©,Rather Die Young,romance
1659,Taylor Swift,Love Story (Digital Dog Remix),romance
1660,Billie Eilish,​when the party’s over (SAYA Remix),romance
1661,Ariana Grande,no tears left to cry,romance
1662,Eminem,Favorite Bitch,romance
1663,BeyoncÃ©,Check On It (Live),romance
1664,Justin Bieber,Boyfriend (Remix),romance
1665,Lady Gaga,Charlotte Nights,romance
1666,Kelly Clarkson,Because of You,romance
1667,BeyoncÃ©,Countdown (Homecoming Live),romance
1668,BeyoncÃ©,Suga Mama,romance
1669,Taylor Swift,I Want You Back (Live/2011),romance
1670,Ariana Grande,Them Changes (BBC Radio 1 Live Lounge),romance
1671,BeyoncÃ©,"Me, Myself and I",romance
1672,BeyoncÃ©,Blow (Country Club Martini Crew Remix Edit),romance
1673,Lady Gaga,Stuck on Fuckin' You,romance
1674,Eminem,Cum on Everybody,romance
1675,Katie Melua,I Cried For You,romance
1676,Ariana Grande,One Last Time (Fedez Remix),romance
1677,BeyoncÃ©,The Closer I Get to You,romance
1678,Lady Gaga,Fashion of His Love,romance
1679,Lady Gaga,In Like With You,romance
1680,Cardi B,What A Girl Likes,romance
1681,Ariana Grande,Intro (C&C),romance
1682,BeyoncÃ©,Hip Hop Star,romance
1683,Taylor Swift,Lover (Piano/Vocal),romance
1684,BeyoncÃ©,Single Ladies (Put a Ring on It) [Homecoming Live],romance
1685,Billie Eilish,Ocean Eyes (Young Bombs Remix),romance
1686,Mariah Carey,Without You,romance
1687,Taylor Swift,You Belong with Me,romance
1688,Ariana Grande,Quit (Demo),romance
1689,Taylor Swift,King of My Heart,romance
1690,BeyoncÃ©,Ring The Alarm (Tranzformas Remix),romance
1691,Justin Bieber,Die in Your Arms,romance
1692,BeyoncÃ©,Dance for You,romance
1693,BeyoncÃ©,Sexy Lilâ Thug (Remix),romance
1694,BeyoncÃ©,Green Light Medley (The Beyonce Experience Live),romance
1695,Justin Bieber,Can’t Live Without You,romance
1696,Ariana Grande,Problem (Dave Aude Twerk Edit),romance
1697,Ariana Grande,Ain’t About What You Got,romance
1698,BeyoncÃ©,Outro,romance
1699,Michael Bublé,When I Fall in Love,romance
1700,Ariana Grande,​love language,romance
1701,Billie Eilish,‌bellyache (Live),romance
1702,Billie Eilish,​bury a friend (Live at Third Man Records),romance
1703,BeyoncÃ©,Krazy In Luv [Mauriceâs Nu Soul Remix],romance
1704,Eminem,Love the Way You Lie,romance
1705,Ariana Grande,Into You (3LAU Remix),romance
1706,Billie Eilish,Six Feet Under,romance
1707,BeyoncÃ©,Drunk in Love (Remix),romance
1708,Billie Eilish,​xanny,romance
1709,BeyoncÃ©,Statement on Jay Z and Solange fight,romance
1710,Ariana Grande,Rolling in the Deep,romance
1711,Taylor Swift,Love Story - 2020 Re-recording (Snippet),romance
1712,Selena Gomez,Hands to Myself,romance
1713,BeyoncÃ©,Irreplaceable (Live),romance
1714,Justin Bieber,Forever (2020 Demo),romance
1715,Taylor Swift,Love Story (Pop Mix),romance
1716,BeyoncÃ©,Dreamgirls Medley (The Beyonce Experience Live),romance
1717,Maroon 5,This Love (C. “Tricky” Stewart Remix),romance
1718,BeyoncÃ©,Naughty Girl [Calderone Quayle Club Mix],romance
1719,Taylor Swift,Enchanted (Live/2011),romance
1720,Taylor Swift,This Love,romance
1721,Lady Gaga,Blueberry Kisses,romance
1722,BeyoncÃ©,Best Thing I Never Had (Lars B Remix),romance
1723,Taylor Swift,Thinkin' 'Bout You,romance
1724,Billie Eilish,Bury a friend[Harel Atias remix],romance
1725,BeyoncÃ©,Party,romance
1726,Billie Eilish,​guess*,romance
1727,BeyoncÃ©,Darling Nicki (Minaj),romance
1728,Justin Bieber,Thought of You,romance
1729,BeyoncÃ©,Say My Name (Live),romance
1730,Patrizio Buanne,Il Mondo,romance
1731,Billie Eilish,Bored (Yamill Remix),romance
1732,Post Malone,About a Girl,romance
1733,Lara Fabian,You're Not From Here,romance
1734,Eva Cassidy,Songbird,romance
1735,BeyoncÃ©,Daddy Lessons,romance
1736,Billie Eilish,Paparazzi Instagram Monologue,romance
1737,BeyoncÃ©,Video Phone (Extended Remix),romance
1738,BeyoncÃ©,DÃ©jÃ  Vu (Freemasons Radio - with Rap),romance
1739,Selena Gomez,Feel Me (Live from Revival Tour),romance
1740,Billie Eilish,​watch,romance
1741,Barbra Streisand,Somewhere,romance
1742,Billie Eilish,​idontwannabeyouanymore (Live at Third Man Records),romance
1743,Carla Bruni,The Winner Takes It All,romance
1744,BeyoncÃ©,Single Ladies (Put a Ring On It) [DJ Escape & Tony Coluccio Remix] {Club Version},romance
1745,Justin Bieber,New One,romance
1746,BeyoncÃ©,My Man,romance
1747,Billie Eilish,Telegraph Ave,romance
1748,Taylor Swift,Hopelessly Devoted To You,romance
1749,Ariana Grande,Baby I,romance
1750,BeyoncÃ©,Check On It [Junior Vasquez Club Mix],romance
1751,Eminem,Love Game,romance
1752,Simply Red,A Song For You,romance
1753,Lady Gaga,Fashion of His Love (Fernando Garibay Remix),romance
1754,BeyoncÃ©,Fighting Temptation,romance
1755,BeyoncÃ©,Lemonade Film (Script),romance
1756,Selena Gomez,Feel Me (Demo),romance
1757,Billie Eilish,COPYCAT[itsyo_boiiii remix],romance
1758,BeyoncÃ©,Get Me Bodied,romance
1759,Maroon 5,Secret (Demo),romance
1760,Taylor Swift,Lover,romance
1761,Ariana Grande,imagine,romance
1762,Taylor Swift,Can't Stop Loving You (Live Lounge),romance
1763,Ariana Grande,Into You / Dangerous Woman Medley,romance
1764,Justin Bieber,Oh Girl,romance
1765,Billie Eilish,Hotline Bling (Flyboy Remix),romance
1766,Billie Eilish,​because i’m in love with you*,romance
1767,Taylor Swift,Sparks Fly (Original Version),romance
1768,Billie Eilish,​idontwannabeyouanymore (Elijah Hill Remix),romance
1769,Ariana Grande,Sweetener World Tour Dates,romance
1770,Selena Gomez,Let Me Love You (Demo),romance
1771,Eminem,Crazy in Love,romance
1772,BeyoncÃ©,So Much Damn Swag (Interlude) [Homecoming Live],romance
1773,BeyoncÃ©,Sweet Dreams (Live at Wynn Las Vegas),romance
1774,Billie Eilish,​if you want me,romance
1775,Cardi B,11/18/19 Freestyle,romance
1776,Justin Bieber,Favorite Girl (Acoustic) [Live],romance
1777,BeyoncÃ©,B&J,romance
1778,BeyoncÃ©,Get Me Bodied (Live),romance
1779,Ariana Grande,Knew Better / Forever Boy,romance
1780,BeyoncÃ©,Love on Top (DJ Escape & Tony Coluccio Remix),romance
1781,Ariana Grande,Knew Better Part Two,romance
1782,Maroon 5,Woman (Demo),romance
1783,Cardi B,Lick,romance
1784,Ariana Grande,​r.e.m (live),romance
1785,Billie Eilish,​hostage,romance
1786,Maroon 5,She Will Be Loved,romance
1787,BeyoncÃ©,End of Time (JIMEK Remix),romance
1788,Ariana Grande,Better Left Unsaid,romance
1789,Taylor Swift,Teardrops on my Guitar (Live from Clear Channel Stripped 2008),romance
1790,BeyoncÃ©,Outro (Speak My Mind),romance
1791,Lady Gaga,We Could Be Lovers,romance
1792,Lady Gaga,You and I - Metronomy Remix,romance
1793,Ruth B.,Paper Airplanes,romance
1794,BeyoncÃ©,Whatâs Good With You,romance
1795,BeyoncÃ©,BeyoncÃ© VMAâs 2014,romance
1796,Taylor Swift,Ours (Live/2011),romance
